FR,IA,Int_AF,Int_Fa,EP,Ext_AF,Multifun,IP,Mix_Fa,P-Ur,Mix_P,MF,UMF,Min_man,UL,Ur,Mix_For,VEP
IA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Int_AF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Int_Fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ext_AF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Multifun,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mix_Fa,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P-Ur,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mix_P,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UMF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Min_man,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UL,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mix_For,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VEP,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
