Year.Meat.Crops.Diversity.Timber.Carbon.Urban.Recreation,Urban
2016;1108954.915;2483703.551;14832.221;61679.319;21141382.62;1;3356.413,1
2017;1083691.535;2453518.696;14741.9989;61601.1871;21133455.96;1;3422.4717,1
2018;1058428.155;2423333.841;14651.7768;61523.0552;21125529.3;1;3488.5304,1
2019;1033164.775;2393148.986;14561.5547;61444.9233;21117602.63;1;3554.5891,1
2020;1007901.396;2362964.131;14471.3326;61366.7914;21109675.97;1;3620.6478,1
2021;982638.0157;2332779.276;14381.1105;61288.6595;21101749.31;1;3686.7065,1
2022;957374.6359;2302594.42;14290.8884;61210.5276;21093822.65;1;3752.7652,1
2023;932111.256;2272409.565;14200.6663;61132.3957;21085895.99;1;3818.8239,1
2024;906847.8762;2242224.71;14110.4442;61054.2638;21077969.32;1;3884.8826,1
2025;881584.4963;2212039.855;14020.2221;60976.1319;21070042.66;1;3950.9413,1
2026;856321.1165;2181855;13930;60898;21062116;1;4017,1
2027;831057.7366;2152794.5;13866.5;59900.33333;20951086.13;1;4063.3,1
2028;805794.3568;2123734;13803;58902.66667;20840056.27;1;4109.6,1
2029;780530.9769;2094673.5;13739.5;57905;20729026.4;1;4155.9,1
2030;755267.5971;2065613;13676;56907.33333;20617996.53;1;4202.2,1
2031;730004.2172;2036552.5;13612.5;55909.66667;20506966.67;1;4248.5,1
2032;704740.8374;2007492;13549;54912;20395936.8;1;4294.8,1
2033;679477.4575;1978431.5;13485.5;53914.33333;20284906.93;1;4341.1,1
2034;654214.0776;1949371;13422;52916.66667;20173877.07;1;4387.4,1
2035;628950.6978;1920310.5;13358.5;51919;20062847.2;1;4433.7,1
2036;603687.3179;1891250;13295;50921.33333;19951817.33;1;4480,1
2037;578423.9381;1862189.5;13231.5;49923.66667;19840787.47;1;4526.3,1
2038;553160.5582;1833129;13168;48926;19729757.6;1;4572.6,1
2039;527897.1784;1804068.5;13104.5;47928.33333;19618727.73;1;4618.9,1
2040;502633.7985;1775008;13041;46930.66667;19507697.87;1;4665.2,1
2041;477370.4187;1745947.5;12977.5;45933;19396668;1;4711.5,1
2042;452107.0388;1716887;12914;44935.33333;19285638.13;1;4757.8,1
2043;426843.659;1687826.5;12850.5;43937.66667;19174608.27;1;4804.1,1
2044;401580.2791;1658766;12787;42940;19063578.4;1;4850.4,1
2045;376316.8993;1629705.5;12723.5;41942.33333;18952548.53;1;4896.7,1
2046;351053.5194;1600645;12660;40944.66667;18841518.67;1;4943,1
2047;325790.1396;1571584.5;12596.5;39947;18730488.8;1;4989.3,1
2048;300526.7597;1542524;12533;38949.33333;18619458.93;1;5035.6,1
2049;275263.3799;1513463.5;12469.5;37951.66667;18508429.07;1;5081.9,1
2050;250000;1484403;12406;36954;18397399.2;1;5128.2,1
2051;243333.3333;1455342.5;12342.5;35956.33333;18286369.33;1;5174.5,1
2052;236666.6667;1426282;12279;34958.66667;18175339.47;1;5220.8,1
2053;230000;1397221.5;12215.5;33961;18064309.6;1;5267.1,1
2054;223333.3333;1368161;12152;32963.33333;17953279.73;1;5313.4,1
2055;216666.6667;1339100.5;12088.5;31965.66667;17842249.87;1;5359.7,1
2056;210000;1310040;12025;30968;17731220;1;5406,1
2057;203333.3333;1270697.5;12016.16667;30119.4;17686376.67;1;5318.233333,1
2058;196666.6667;1231355;12007.33333;29270.8;17641533.33;1;5230.466667,1
2059;190000;1192012.5;11998.5;28422.2;17596690;1;5142.7,1
2060;183333.3333;1152670;11989.66667;27573.6;17551846.67;1;5054.933333,1
2061;176666.6667;1113327.5;11980.83333;26725;17507003.33;1;4967.166667,1
2062;170000;1073985;11972;25876.4;17462160;1;4879.4,1
2063;163333.3333;1034642.5;11963.16667;25027.8;17417316.67;1;4791.633333,1
2064;156666.6667;995300;11954.33333;24179.2;17372473.33;1;4703.866667,1
2065;150000;955957.5;11945.5;23330.6;17327630;1;4616.1,1
2066;143333.3333;916615;11936.66667;22482;17282786.67;1;4528.333333,1
2067;136666.6667;877272.5;11927.83333;21633.4;17237943.33;1;4440.566667,1
2068;130000;837930;11919;20784.8;17193100;1;4352.8,1
2069;123333.3333;798587.5;11910.16667;19936.2;17148256.67;1;4265.033333,1
2070;116666.6667;759245;11901.33333;19087.6;17103413.33;1;4177.266667,1
2071;110000;719902.5;11892.5;18239;17058570;1;4089.5,1
2072;103333.3333;680560;11883.66667;17390.4;17013726.67;1;4001.733333,1
2073;96666.66667;641217.5;11874.83333;16541.8;16968883.33;1;3913.966667,1
2074;90000;601875;11866;15693.2;16924040;1;3826.2,1
2075;83333.33333;562532.5;11857.16667;14844.6;16879196.67;1;3738.433333,1
2076;76666.66667;523190;11848.33333;13996;16834353.33;1;3650.666667,1
2077;70000;483847.5;11839.5;13147.4;16789510;1;3562.9,1
2078;63333.33333;444505;11830.66667;12298.8;16744666.67;1;3475.133333,1
2079;56666.66667;405162.5;11821.83333;11450.2;16699823.33;1;3387.366667,1
2080;50000;365820;11813;10601.6;16654980;1;3299.6,1
2081;43333.33333;326477.5;11804.16667;9753;16610136.67;1;3211.833333,1
2082;36666.66667;287135;11795.33333;8904.4;16565293.33;1;3124.066667,1
2083;30000;247792.5;11786.5;8055.8;16520450;1;3036.3,1
2084;23333.33333;208450;11777.66667;7207.2;16475606.67;1;2948.533333,1
2085;16666.66667;169107.5;11768.83333;6358.6;16430763.33;1;2860.766667,1
2086;10000;129765;11760;5510;16385920;1;2773,1
